verb,ich_prsens,du_prsens,er_prsens,wir_prsens,ihr_prsens,sie_prsens,ich_prteritum,du_prteritum,er_prteritum,wir_prteritum,ihr_prteritum,sie_prteritum,ich_perfekt,du_perfekt,er_perfekt,wir_perfekt,ihr_perfekt,sie_perfekt,ich_plusquamperfekt,du_plusquamperfekt,er_plusquamperfekt,wir_plusquamperfekt,ihr_plusquamperfekt,sie_plusquamperfekt,ich_futuri,du_futuri,er_futuri,wir_futuri,ihr_futuri,sie_futuri,ich_futurii,du_futurii,er_futurii,wir_futurii,ihr_futurii,sie_futurii,ich_konjunktivi,du_konjunktivi,er_konjunktivi,wir_konjunktivi,ihr_konjunktivi,sie_konjunktivi,ich_konjunktivii,du_konjunktivii,er_konjunktivii,wir_konjunktivii,ihr_konjunktivii,sie_konjunktivii,ich_konjunktiv_perfekt,du_konjunktiv_perfekt,er_konjunktiv_perfekt,wir_konjunktiv_perfekt,ihr_konjunktiv_perfekt,sie_konjunktiv_perfekt,ich_konjunktiv_plusquamperfekt,du_konjunktiv_plusquamperfekt,er_konjunktiv_plusquamperfekt,wir_konjunktiv_plusquamperfekt,ihr_konjunktiv_plusquamperfekt,sie_konjunktiv_plusquamperfekt,ich_konjunktiv_futur1,du_konjunktiv_futur1,er_konjunktiv_futur1,wir_konjunktiv_futur1,ihr_konjunktiv_futur1,sie_konjunktiv_futur1,ich_konjunktiv_futur2,du_konjunktiv_futur2,er_konjunktiv_futur2,wir_konjunktiv_futur2,ihr_konjunktiv_futur2,sie_konjunktiv_futur2,infinitiv1_form1,infinitiv1_form2,infinitiv2_form1,infinitiv2_form2,partizip1,partizip2,imperativ_du,imperativ_wir,imperativ_ihr,imperativ_sie
reparieren,repariere,reparierst,repariert,reparieren,repariert,reparieren,reparierte,repariertest,reparierte,reparierten,repariertet,reparierten,habe repariert,hast repariert,hat repariert,haben repariert,habt repariert,haben repariert,hatte repariert,hattest repariert,hatte repariert,hatten repariert,hattet repariert,hatten repariert,werde reparieren,wirst reparieren,wird reparieren,werden reparieren,werdet reparieren,werden reparieren,werde repariert haben,wirst repariert haben,wird repariert haben,werden repariert haben,werdet repariert haben,werden repariert haben,repariere,reparierest,repariere,reparieren,reparieret,reparieren,reparierte,repariertest,reparierte,reparierten,repariertet,reparierten,habe repariert,habest repariert,habe repariert,haben repariert,habet repariert,haben repariert,hätte repariert,hättest repariert,hätte repariert,hätten repariert,hättet repariert,hätten repariert,werde reparieren,werdest reparieren,werde reparieren,werden reparieren,werdet reparieren,werden reparieren,werde repariert haben,werdest repariert haben,werde repariert haben,werden repariert haben,werdet repariert haben,werden repariert haben,reparieren,zu reparieren,repariert haben,repariert zu haben,reparierend,repariert,repariere du,reparieren wir,repariert ihr,reparieren Sie
verführen,verführe,verführst,verführt,verführen,verführt,verführen,verführte,verführtest,verführte,verführten,verführtet,verführten,habe verführt,hast verführt,hat verführt,haben verführt,habt verführt,haben verführt,hatte verführt,hattest verführt,hatte verführt,hatten verführt,hattet verführt,hatten verführt,werde verführen,wirst verführen,wird verführen,werden verführen,werdet verführen,werden verführen,werde verführt haben,wirst verführt haben,wird verführt haben,werden verführt haben,werdet verführt haben,werden verführt haben,verführe,verführest,verführe,verführen,verführet,verführen,verführte,verführtest,verführte,verführten,verführtet,verführten,habe verführt,habest verführt,habe verführt,haben verführt,habet verführt,haben verführt,hätte verführt,hättest verführt,hätte verführt,hätten verführt,hättet verführt,hätten verführt,werde verführen,werdest verführen,werde verführen,werden verführen,werdet verführen,werden verführen,werde verführt haben,werdest verführt haben,werde verführt haben,werden verführt haben,werdet verführt haben,werden verführt haben,verführen,zu verführen,verführt haben,verführt zu haben,verführend,verführt,verführe du,verführen wir,verführt ihr,verführen Sie
leben,lebe,lebst,lebt,leben,lebt,leben,lebte,lebtest,lebte,lebten,lebtet,lebten,habe gelebt,hast gelebt,hat gelebt,haben gelebt,habt gelebt,haben gelebt,hatte gelebt,hattest gelebt,hatte gelebt,hatten gelebt,hattet gelebt,hatten gelebt,werde leben,wirst leben,wird leben,werden leben,werdet leben,werden leben,werde gelebt haben,wirst gelebt haben,wird gelebt haben,werden gelebt haben,werdet gelebt haben,werden gelebt haben,lebe,lebest,lebe,leben,lebet,leben,lebte,lebtest,lebte,lebten,lebtet,lebten,habe gelebt,habest gelebt,habe gelebt,haben gelebt,habet gelebt,haben gelebt,hätte gelebt,hättest gelebt,hätte gelebt,hätten gelebt,hättet gelebt,hätten gelebt,werde leben,werdest leben,werde leben,werden leben,werdet leben,werden leben,werde gelebt haben,werdest gelebt haben,werde gelebt haben,werden gelebt haben,werdet gelebt haben,werden gelebt haben,leben,zu leben,gelebt haben,gelebt zu haben,lebend,gelebt,lebe du,leben wir,lebt ihr,leben Sie
buchstabieren,buchstabiere,buchstabierst,buchstabiert,buchstabieren,buchstabiert,buchstabieren,buchstabierte,buchstabiertest,buchstabierte,buchstabierten,buchstabiertet,buchstabierten,habe buchstabiert,hast buchstabiert,hat buchstabiert,haben buchstabiert,habt buchstabiert,haben buchstabiert,hatte buchstabiert,hattest buchstabiert,hatte buchstabiert,hatten buchstabiert,hattet buchstabiert,hatten buchstabiert,werde buchstabieren,wirst buchstabieren,wird buchstabieren,werden buchstabieren,werdet buchstabieren,werden buchstabieren,werde buchstabiert haben,wirst buchstabiert haben,wird buchstabiert haben,werden buchstabiert haben,werdet buchstabiert haben,werden buchstabiert haben,buchstabiere,buchstabierest,buchstabiere,buchstabieren,buchstabieret,buchstabieren,buchstabierte,buchstabiertest,buchstabierte,buchstabierten,buchstabiertet,buchstabierten,habe buchstabiert,habest buchstabiert,habe buchstabiert,haben buchstabiert,habet buchstabiert,haben buchstabiert,hätte buchstabiert,hättest buchstabiert,hätte buchstabiert,hätten buchstabiert,hättet buchstabiert,hätten buchstabiert,werde buchstabieren,werdest buchstabieren,werde buchstabieren,werden buchstabieren,werdet buchstabieren,werden buchstabieren,werde buchstabiert haben,werdest buchstabiert haben,werde buchstabiert haben,werden buchstabiert haben,werdet buchstabiert haben,werden buchstabiert haben,buchstabieren,zu buchstabieren,buchstabiert haben,buchstabiert zu haben,buchstabierend,buchstabiert,buchstabiere du,buchstabieren wir,buchstabiert ihr,buchstabieren Sie
zerreißen,zerreiße,zerreißt,zerreißt,zerreißen,zerreißt,zerreißen,zerriss,zerrissest,zerriss,zerrissen,zerrisset,zerrissen,habe zerrissen,hast zerrissen,hat zerrissen,haben zerrissen,habt zerrissen,haben zerrissen,hatte zerrissen,hattest zerrissen,hatte zerrissen,hatten zerrissen,hattet zerrissen,hatten zerrissen,werde zerreißen,wirst zerreißen,wird zerreißen,werden zerreißen,werdet zerreißen,werden zerreißen,werde zerrissen haben,wirst zerrissen haben,wird zerrissen haben,werden zerrissen haben,werdet zerrissen haben,werden zerrissen haben,zerreiße,zerreißest,zerreiße,zerreißen,zerreißet,zerreißen,zerrisse,zerrissest,zerrisse,zerrissen,zerrisset,zerrissen,habe zerrissen,habest zerrissen,habe zerrissen,haben zerrissen,habet zerrissen,haben zerrissen,hätte zerrissen,hättest zerrissen,hätte zerrissen,hätten zerrissen,hättet zerrissen,hätten zerrissen,werde zerreißen,werdest zerreißen,werde zerreißen,werden zerreißen,werdet zerreißen,werden zerreißen,werde zerrissen haben,werdest zerrissen haben,werde zerrissen haben,werden zerrissen haben,werdet zerrissen haben,werden zerrissen haben,zerreißen,zu zerreißen,zerrissen haben,zerrissen zu haben,zerreißend,zerrissen,zerreiße du,zerreißen wir,zerreißt ihr,zerreißen Sie
verstehen,verstehe,verstehst,versteht,verstehen,versteht,verstehen,verstand,verstandest,verstand,verstanden,verstandet,verstanden,habe verstanden,hast verstanden,hat verstanden,haben verstanden,habt verstanden,haben verstanden,hatte verstanden,hattest verstanden,hatte verstanden,hatten verstanden,hattet verstanden,hatten verstanden,werde verstehen,wirst verstehen,wird verstehen,werden verstehen,werdet verstehen,werden verstehen,werde verstanden haben,wirst verstanden haben,wird verstanden haben,werden verstanden haben,werdet verstanden haben,werden verstanden haben,verstehe,verstehest,verstehe,verstehen,verstehet,verstehen,verstünde/verstände,verstündest/verständest,verstünde/verstände,verstünden/verständen,verstündet/verständet,verstünden/verständen,habe verstanden,habest verstanden,habe verstanden,haben verstanden,habet verstanden,haben verstanden,hätte verstanden,hättest verstanden,hätte verstanden,hätten verstanden,hättet verstanden,hätten verstanden,werde verstehen,werdest verstehen,werde verstehen,werden verstehen,werdet verstehen,werden verstehen,werde verstanden haben,werdest verstanden haben,werde verstanden haben,werden verstanden haben,werdet verstanden haben,werden verstanden haben,verstehen,zu verstehen,verstanden haben,verstanden zu haben,verstehend,verstanden,verstehe du,verstehen wir,versteht ihr,verstehen Sie
ankündigen,kündige an,kündigst an,kündigt an,kündigen an,kündigt an,kündigen an,kündigte an,kündigtest an,kündigte an,kündigten an,kündigtet an,kündigten an,habe angekündigt,hast angekündigt,hat angekündigt,haben angekündigt,habt angekündigt,haben angekündigt,hatte angekündigt,hattest angekündigt,hatte angekündigt,hatten angekündigt,hattet angekündigt,hatten angekündigt,werde ankündigen,wirst ankündigen,wird ankündigen,werden ankündigen,werdet ankündigen,werden ankündigen,werde angekündigt haben,wirst angekündigt haben,wird angekündigt haben,werden angekündigt haben,werdet angekündigt haben,werden angekündigt haben,kündige an,kündigest an,kündige an,kündigen an,kündiget an,kündigen an,kündigte an,kündigtest an,kündigte an,kündigten an,kündigtet an,kündigten an,habe angekündigt,habest angekündigt,habe angekündigt,haben angekündigt,habet angekündigt,haben angekündigt,hätte angekündigt,hättest angekündigt,hätte angekündigt,hätten angekündigt,hättet angekündigt,hätten angekündigt,werde ankündigen,werdest ankündigen,werde ankündigen,werden ankündigen,werdet ankündigen,werden ankündigen,werde angekündigt haben,werdest angekündigt haben,werde angekündigt haben,werden angekündigt haben,werdet angekündigt haben,werden angekündigt haben,ankündigen,anzukündigen,angekündigt haben,angekündigt zu haben,ankündigend,angekündigt,kündige du an,kündigen wir an,kündigt ihr an,kündigen Sie an
schimpfen,schimpfe,schimpfst,schimpft,schimpfen,schimpft,schimpfen,schimpfte,schimpftest,schimpfte,schimpften,schimpftet,schimpften,habe geschimpft,hast geschimpft,hat geschimpft,haben geschimpft,habt geschimpft,haben geschimpft,hatte geschimpft,hattest geschimpft,hatte geschimpft,hatten geschimpft,hattet geschimpft,hatten geschimpft,werde schimpfen,wirst schimpfen,wird schimpfen,werden schimpfen,werdet schimpfen,werden schimpfen,werde geschimpft haben,wirst geschimpft haben,wird geschimpft haben,werden geschimpft haben,werdet geschimpft haben,werden geschimpft haben,schimpfe,schimpfest,schimpfe,schimpfen,schimpfet,schimpfen,schimpfte,schimpftest,schimpfte,schimpften,schimpftet,schimpften,habe geschimpft,habest geschimpft,habe geschimpft,haben geschimpft,habet geschimpft,haben geschimpft,hätte geschimpft,hättest geschimpft,hätte geschimpft,hätten geschimpft,hättet geschimpft,hätten geschimpft,werde schimpfen,werdest schimpfen,werde schimpfen,werden schimpfen,werdet schimpfen,werden schimpfen,werde geschimpft haben,werdest geschimpft haben,werde geschimpft haben,werden geschimpft haben,werdet geschimpft haben,werden geschimpft haben,schimpfen,zu schimpfen,geschimpft haben,geschimpft zu haben,schimpfend,geschimpft,schimpfe du,schimpfen wir,schimpft ihr,schimpfen Sie
abliefern,liefere ab,lieferst ab,liefert ab,liefern ab,liefert ab,liefern ab,lieferte ab,liefertest ab,lieferte ab,lieferten ab,liefertet ab,lieferten ab,habe abgeliefert,hast abgeliefert,hat abgeliefert,haben abgeliefert,habt abgeliefert,haben abgeliefert,hatte abgeliefert,hattest abgeliefert,hatte abgeliefert,hatten abgeliefert,hattet abgeliefert,hatten abgeliefert,werde abliefern,wirst abliefern,wird abliefern,werden abliefern,werdet abliefern,werden abliefern,werde abgeliefert haben,wirst abgeliefert haben,wird abgeliefert haben,werden abgeliefert haben,werdet abgeliefert haben,werden abgeliefert haben,liefere ab,lieferst ab,liefere ab,liefern ab,liefert ab,liefern ab,lieferte ab,liefertest ab,lieferte ab,lieferten ab,liefertet ab,lieferten ab,habe abgeliefert,habest abgeliefert,habe abgeliefert,haben abgeliefert,habet abgeliefert,haben abgeliefert,hätte abgeliefert,hättest abgeliefert,hätte abgeliefert,hätten abgeliefert,hättet abgeliefert,hätten abgeliefert,werde abliefern,werdest abliefern,werde abliefern,werden abliefern,werdet abliefern,werden abliefern,werde abgeliefert haben,werdest abgeliefert haben,werde abgeliefert haben,werden abgeliefert haben,werdet abgeliefert haben,werden abgeliefert haben,abliefern,abzuliefern,abgeliefert haben,abgeliefert zu haben,abliefernd,abgeliefert,liefere du ab,liefern wir ab,liefert ihr ab,liefern Sie ab
vermeiden,vermeide,vermeidest,vermeidet,vermeiden,vermeidet,vermeiden,vermied,vermiedest,vermied,vermieden,vermiedet,vermieden,habe vermieden,hast vermieden,hat vermieden,haben vermieden,habt vermieden,haben vermieden,hatte vermieden,hattest vermieden,hatte vermieden,hatten vermieden,hattet vermieden,hatten vermieden,werde vermeiden,wirst vermeiden,wird vermeiden,werden vermeiden,werdet vermeiden,werden vermeiden,werde vermieden haben,wirst vermieden haben,wird vermieden haben,werden vermieden haben,werdet vermieden haben,werden vermieden haben,vermeide,vermeidest,vermeide,vermeiden,vermeidet,vermeiden,vermiede,vermiedest,vermiede,vermieden,vermiedet,vermieden,habe vermieden,habest vermieden,habe vermieden,haben vermieden,habet vermieden,haben vermieden,hätte vermieden,hättest vermieden,hätte vermieden,hätten vermieden,hättet vermieden,hätten vermieden,werde vermeiden,werdest vermeiden,werde vermeiden,werden vermeiden,werdet vermeiden,werden vermeiden,werde vermieden haben,werdest vermieden haben,werde vermieden haben,werden vermieden haben,werdet vermieden haben,werden vermieden haben,vermeiden,zu vermeiden,vermieden haben,vermieden zu haben,vermeidend,vermieden,vermeide du,vermeiden wir,vermeidet ihr,vermeiden Sie
überzeugen,überzeuge,überzeugst,überzeugt,überzeugen,überzeugt,überzeugen,überzeugte,überzeugtest,überzeugte,überzeugten,überzeugtet,überzeugten,habe überzeugt,hast überzeugt,hat überzeugt,haben überzeugt,habt überzeugt,haben überzeugt,hatte überzeugt,hattest überzeugt,hatte überzeugt,hatten überzeugt,hattet überzeugt,hatten überzeugt,werde überzeugen,wirst überzeugen,wird überzeugen,werden überzeugen,werdet überzeugen,werden überzeugen,werde überzeugt haben,wirst überzeugt haben,wird überzeugt haben,werden überzeugt haben,werdet überzeugt haben,werden überzeugt haben,überzeuge,überzeugest,überzeuge,überzeugen,überzeuget,überzeugen,überzeugte,überzeugtest,überzeugte,überzeugten,überzeugtet,überzeugten,habe überzeugt,habest überzeugt,habe überzeugt,haben überzeugt,habet überzeugt,haben überzeugt,hätte überzeugt,hättest überzeugt,hätte überzeugt,hätten überzeugt,hättet überzeugt,hätten überzeugt,werde überzeugen,werdest überzeugen,werde überzeugen,werden überzeugen,werdet überzeugen,werden überzeugen,werde überzeugt haben,werdest überzeugt haben,werde überzeugt haben,werden überzeugt haben,werdet überzeugt haben,werden überzeugt haben,überzeugen,zu überzeugen,überzeugt haben,überzeugt zu haben,überzeugend,überzeugt,überzeuge du,überzeugen wir,überzeugt ihr,überzeugen Sie
reisen,reise,reist,reist,reisen,reist,reisen,reiste,reistest,reiste,reisten,reistet,reisten,bin gereist,bist gereist,ist gereist,sind gereist,seid gereist,sind gereist,war gereist,warst gereist,war gereist,waren gereist,wart gereist,waren gereist,werde reisen,wirst reisen,wird reisen,werden reisen,werdet reisen,werden reisen,werde gereist sein,wirst gereist sein,wird gereist sein,werden gereist sein,werdet gereist sein,werden gereist sein,reise,reisest,reise,reisen,reiset,reisen,reiste,reistest,reiste,reisten,reistet,reisten,sei gereist,seiest gereist,sei gereist,seien gereist,seiet gereist,seien gereist,wäre gereist,wärest gereist,wäre gereist,wären gereist,wäret gereist,wären gereist,werde reisen,werdest reisen,werde reisen,werden reisen,werdet reisen,werden reisen,werde gereist sein,werdest gereist sein,werde gereist sein,werden gereist sein,werdet gereist sein,werden gereist sein,reisen,zu reisen,gereist sein,gereist zu sein,reisend,gereist,reise du,reisen wir,reist ihr,reisen Sie
reservieren,reserviere,reservierst,reserviert,reservieren,reserviert,reservieren,reservierte,reserviertest,reservierte,reservierten,reserviertet,reservierten,habe reserviert,hast reserviert,hat reserviert,haben reserviert,habt reserviert,haben reserviert,hatte reserviert,hattest reserviert,hatte reserviert,hatten reserviert,hattet reserviert,hatten reserviert,werde reservieren,wirst reservieren,wird reservieren,werden reservieren,werdet reservieren,werden reservieren,werde reserviert haben,wirst reserviert haben,wird reserviert haben,werden reserviert haben,werdet reserviert haben,werden reserviert haben,reserviere,reservierest,reserviere,reservieren,reservieret,reservieren,reservierte,reserviertest,reservierte,reservierten,reserviertet,reservierten,habe reserviert,habest reserviert,habe reserviert,haben reserviert,habet reserviert,haben reserviert,hätte reserviert,hättest reserviert,hätte reserviert,hätten reserviert,hättet reserviert,hätten reserviert,werde reservieren,werdest reservieren,werde reservieren,werden reservieren,werdet reservieren,werden reservieren,werde reserviert haben,werdest reserviert haben,werde reserviert haben,werden reserviert haben,werdet reserviert haben,werden reserviert haben,reservieren,zu reservieren,reserviert haben,reserviert zu haben,reservierend,reserviert,reserviere du,reservieren wir,reserviert ihr,reservieren Sie
ausdrücken,drücke aus,drückst aus,drückt aus,drücken aus,drückt aus,drücken aus,drückte aus,drücktest aus,drückte aus,drückten aus,drücktet aus,drückten aus,habe ausgedrückt,hast ausgedrückt,hat ausgedrückt,haben ausgedrückt,habt ausgedrückt,haben ausgedrückt,hatte ausgedrückt,hattest ausgedrückt,hatte ausgedrückt,hatten ausgedrückt,hattet ausgedrückt,hatten ausgedrückt,werde ausdrücken,wirst ausdrücken,wird ausdrücken,werden ausdrücken,werdet ausdrücken,werden ausdrücken,werde ausgedrückt haben,wirst ausgedrückt haben,wird ausgedrückt haben,werden ausgedrückt haben,werdet ausgedrückt haben,werden ausgedrückt haben,drücke aus,drückest aus,drücke aus,drücken aus,drücket aus,drücken aus,drückte aus,drücktest aus,drückte aus,drückten aus,drücktet aus,drückten aus,habe ausgedrückt,habest ausgedrückt,habe ausgedrückt,haben ausgedrückt,habet ausgedrückt,haben ausgedrückt,hätte ausgedrückt,hättest ausgedrückt,hätte ausgedrückt,hätten ausgedrückt,hättet ausgedrückt,hätten ausgedrückt,werde ausdrücken,werdest ausdrücken,werde ausdrücken,werden ausdrücken,werdet ausdrücken,werden ausdrücken,werde ausgedrückt haben,werdest ausgedrückt haben,werde ausgedrückt haben,werden ausgedrückt haben,werdet ausgedrückt haben,werden ausgedrückt haben,ausdrücken,auszudrücken,ausgedrückt haben,ausgedrückt zu haben,ausdrückend,ausgedrückt,drücke du aus,drücken wir aus,drückt ihr aus,drücken Sie aus
beschreiben,beschreibe,beschreibst,beschreibt,beschreiben,beschreibt,beschreiben,beschrieb,beschriebst,beschrieb,beschrieben,beschriebt,beschrieben,habe beschrieben,hast beschrieben,hat beschrieben,haben beschrieben,habt beschrieben,haben beschrieben,hatte beschrieben,hattest beschrieben,hatte beschrieben,hatten beschrieben,hattet beschrieben,hatten beschrieben,werde beschreiben,wirst beschreiben,wird beschreiben,werden beschreiben,werdet beschreiben,werden beschreiben,werde beschrieben haben,wirst beschrieben haben,wird beschrieben haben,werden beschrieben haben,werdet beschrieben haben,werden beschrieben haben,beschreibe,beschreibest,beschreibe,beschreiben,beschreibet,beschreiben,beschriebe,beschriebest,beschriebe,beschrieben,beschriebet,beschrieben,habe beschrieben,habest beschrieben,habe beschrieben,haben beschrieben,habet beschrieben,haben beschrieben,hätte beschrieben,hättest beschrieben,hätte beschrieben,hätten beschrieben,hättet beschrieben,hätten beschrieben,werde beschreiben,werdest beschreiben,werde beschreiben,werden beschreiben,werdet beschreiben,werden beschreiben,werde beschrieben haben,werdest beschrieben haben,werde beschrieben haben,werden beschrieben haben,werdet beschrieben haben,werden beschrieben haben,beschreiben,zu beschreiben,beschrieben haben,beschrieben zu haben,beschreibend,beschrieben,beschreibe du,beschreiben wir,beschreibt ihr,beschreiben Sie
